Ticker;Publico Alvo;Tipo de FII;Administrador;ultimo_rendimento_reais;ultimo_rendimento_perc;Data Pagamento;Data Base;rend_medio_12m_reais;rend_medio_12m_perc;patrimonio_por_cota;cotacao_por_vp;nro_negocios_por_mes;participacao_IFIX;Numero Cotistas;Patrimonio;Cota base
MGFF11;Geral;Papel: Fundo de Fundos;BTG Pactual;0,55;0,66;17/06/2021;08/06/2021;0,62;0,74;84,54;0,99;42201,00;0,76;51364,00;765165830,09;83,67
MGHT11;Investidor Qualificado;Tijolo: Hotéis;BTG Pactual;1,00;1,02;18/06/2021;11/06/2021;0,00;0,00;101,82;0,96;858,00;0,00;295,00;106716794,02;97,99
MINT11;Investidor Qualificado;Tijolo: Educacional;Brasil Plural SA Banco Múltiplo;0,00;0,00;00/00/0000;00/00/0000;0,00;0,00;100,11;0,00;304,00;0,00;64,00;52059602,97;0,00
MORE11;Investidor Qualificado;Papel: Fundo de Fundos;BTG Pactual;0,67;0,74;21/06/2021;14/06/2021;0,00;0,00;98,05;0,93;5520,00;0,00;5881,00;227393363,31;90,95
MTOF11;Geral;Tijolo: Escritórios;Oliveira Trust;0,00;0,00;00/00/0000;00/00/0000;0,00;0,00;92,00;0,00;0,00;0,00;3,00;164963990,19;0,00
MXRF11;Geral;Papel: CRIs;BTG Pactual;0,07;0,66;15/06/2021;31/05/2021;0,08;0,73;10,00;1,06;347123,00;2,39;393767,00;2259874256,91;10,57
NAVT11;Geral;Papel: Fundo de Fundos;BTG Pactual;0,60;0,67;21/06/2021;14/06/2021;0,00;0,00;95,99;0,93;5230,00;0,00;2247,00;101218902,51;89,48
NCHB11;Geral;Papel: CRIs;BTG Pactual;0,91;0,96;15/06/2021;08/06/2021;0,95;1,01;93,75;1,01;5076,00;0,00;6516,00;135186503,35;94,55
NEWL11;Geral;Tijolo: Galpões;Brasil Plural SA Banco Múltiplo;0,90;0,85;15/06/2021;31/05/2021;0,78;0,73;107,66;0,98;855,00;0,00;1550,00;218905446,39;105,87
NEWU11;Geral;Tijolo: Escritórios;Brasil Plural SA Banco Múltiplo;0,11;0,24;18/08/2020;11/08/2020;1,01;2,25;63,21;0,71;192,00;0,00;1812,00;46900867,62;45,00
NPAR11;Geral;Papel: CRIs;Planner Trustee DTVM LTDA;41,01;30,84;14/05/2021;30/04/2021;3,42;2,57;115,37;1,15;893,00;0,00;52,00;13797678,05;133,00
NSLU11;Geral;Tijolo: Hospital;BTG Pactual;1,80;0,72;08/06/2021;31/05/2021;2,28;0,91;213,07;1,17;3053,00;0,00;7631,00;243923226,97;250,00
NVHO11;Geral;Tijolo: Hospital;Genial Investimentos Corretora de Valores;0,07;0,49;09/06/2021;31/05/2021;0,09;0,61;12,37;1,16;754,00;0,00;2575,00;513493362,85;14,40
NVIF11B;Investidor Qualificado;Tijolo: Desenvolvimento;Modal DTVM;0,30;0,00;12/02/2021;29/01/2021;0,67;0,00;165,61;0,00;0,00;0,00;7,00;55877174,82;0,00
ONEF11;Geral;Tijolo: Escritórios;Rio Bravo Investimentos;0,64;0,45;15/06/2021;07/06/2021;0,00;0,00;160,54;0,88;1025,00;0,00;4257,00;146254528,05;141,06
ORPD11;Investidor Qualificado;Tijolo: Desenvolvimento;Planner Trustee DTVM LTDA;1,38;1,10;29/03/2019;28/02/2019;0,11;0,09;147,80;0,85;55,00;0,00;16,00;42861168,07;125,00
OUFF11;Geral;Papel: Fundo de Fundos;Banco Ourinvest SA;0,65;0,77;22/06/2021;15/06/2021;0,67;0,79;87,63;0,96;4335,00;0,00;8269,00;158988425,08;84,46
OUJP11;Geral;Papel: CRIs;Finaxis CTVM SA;0,65;0,64;15/06/2021;31/05/2021;0,71;0,69;103,02;0,99;35556,00;0,34;20707,00;335047577,06;101,96
OULG11;Geral;Tijolo: Galpões;Banco Ourinvest SA;0,50;0,69;22/06/2021;15/06/2021;0,62;0,86;93,52;0,78;6454,00;0,18;6677,00;232053394,57;72,50
OURE11;Geral;Papel: CRIs;Banco Ourinvest SA;0,82;0,92;22/06/2021;15/06/2021;0,73;0,82;99,28;0,89;2541,00;0,00;3622,00;82588575,80;88,69
PABY11;Geral;Tijolo: Desenvolvimento;BRKB DTVM;0,00;0,00;00/00/0000;00/00/0000;0,00;0,00;-7,83;0,00;145,00;0,00;439,00;-5941591,36;0,00
PATC11;Geral;Tijolo: Escritórios;Modal DTVM;0,32;0,47;09/06/2021;31/05/2021;0,32;0,47;86,27;0,79;14811,00;0,24;13487,00;299994986,42;67,75
PATL11;Geral;Tijolo: Galpões;Vórtx DTVM LTDA;0,57;0,63;09/06/2021;31/05/2021;0,42;0,46;96,24;0,94;54423,00;0,45;12904,00;480384513,48;90,01
PBLV11;Investidor Qualificado;Tijolo: Galpões;BRL Trust DTVM;28,19;0,00;29/01/2021;21/01/2021;6,38;0,00;1342,93;0,00;0,00;0,00;2,00;3689158833,54;0,00
PEMA11;Investidor Qualificado;Papel: CRIs;BRL Trust DTVM;0,59;0,67;15/06/2021;31/05/2021;0,05;0,06;101,64;0,87;44,00;0,00;66,00;56106293,35;88,00
PLCR11;Geral;Papel: CRIs;Brasil Plural SA Banco Múltiplo;0,95;1,01;15/06/2021;31/05/2021;0,65;0,70;97,50;0,96;25929,00;0,21;6115,00;205645868,44;93,79
PLOG11;Geral;Tijolo: Galpões;Banco Genial;0,68;0,72;15/06/2021;31/05/2021;0,12;0,12;95,20;0,99;2099,00;0,00;1631,00;71398808,69;93,99
PLRI11;Investidor Qualificado;Papel: CRIs;Oliveira Trust;0,23;0,51;08/06/2021;31/05/2021;0,25;0,55;55,32;0,83;405,00;0,00;793,00;52788623,53;46,01
PORD11;Geral;Papel: CRIs;Oliveira Trust;1,00;0,97;08/06/2021;31/05/2021;0,90;0,87;101,37;1,02;7801,00;0,42;8850,00;199977610,24;103,00
PQAG11;Geral;Tijolo: Galpões;Hedge Investments DTVM LTDA;0,36;0,56;15/06/2021;31/05/2021;0,00;0,00;54,39;1,17;291,00;0,00;385,00;761036339,46;63,75
PQDP11;Geral;Tijolo: Shoppings;BTG Pactual;1,88;0,07;18/06/2021;31/05/2021;6,21;0,22;3636,39;0,79;620,00;0,00;4170,00;867195308,31;2868,99
PRSN11B;Investidor Qualificado;Tijolo: Desenvolvimento;Oliveira Trust;0,02;2,41;15/01/2021;08/01/2021;0,06;7,74;0,45;1,67;3170,00;0,00;1197,00;23280283,39;0,75
PRSV11;Geral;Tijolo: Escritórios;Hedge Investments DTVM LTDA;1,62;0,42;15/10/2020;30/09/2020;2,04;0,53;237,72;1,61;354,00;0,00;1230,00;46355327,15;382,00
PRTS11;Investidor Qualificado;Tijolo: Shoppings;Banco Modal SA;0,00;0,00;00/00/0000;00/00/0000;0,00;0,00;0,09;0,00;0,00;0,00;11,00;4894470,14;0,00
PVBI11;Geral;Tijolo: Escritórios;BTG Pactual;0,54;0,57;08/06/2021;31/05/2021;0,37;0,39;96,44;0,99;72029,00;0,94;31680,00;937403918,87;95,00
QAGR11;Geral;Tijolo: Outros;BTG Pactual;0,38;0,71;09/06/2021;01/06/2021;0,40;0,75;58,41;0,91;28688,00;0,27;18019,00;294400660,10;53,40
QAMI11;Geral;Papel: CRIs;Banco Genial;0,98;1,03;15/06/2021;31/05/2021;0,11;0,12;95,13;1,00;241,00;0,00;603,00;76240155,14;95,00
QIFF11;Geral;Papel: Fundo de Fundos;BRL Trust DTVM;0,73;0,70;15/06/2021;31/05/2021;0,63;0,60;96,15;1,09;321,00;0,00;188,00;14422226,23;104,90
RBBV11;Geral;Tijolo: Desenvolvimento;Caixa Econômica Federal;27,19;27,60;08/07/2021;02/06/2021;0,00;0,00;100,31;0,98;732,00;0,00;3143,00;125807524,80;98,50
RBCO11;Geral;Tijolo: Escritórios;BRL Trust DTVM;0,39;0,67;15/06/2021;31/05/2021;0,50;0,85;101,11;0,58;7682,00;0,00;4236,00;382112991,30;58,29
RBDS11;Investidor Qualificado;Tijolo: Desenvolvimento;Oliveira Trust;1,84;2,65;10/12/2019;29/11/2019;1,92;2,75;31,06;2,24;281,00;0,00;1017,00;3930061,20;69,60
RBED11;Geral;Tijolo: Educacional;Rio Bravo Investimentos;1,03;0,70;15/06/2021;31/05/2021;1,10;0,74;150,32;0,98;6435,00;0,30;11879,00;303894530,56;147,55
RBFF11;Geral;Papel: Fundo de Fundos;BRL Trust DTVM;0,50;0,73;15/06/2021;31/05/2021;0,53;0,77;71,70;0,96;13446,00;0,26;19097,00;268634459,58;68,71
RBGS11;Geral;Tijolo: Shoppings;Oliveira Trust;0,02;0,06;15/06/2021;31/05/2021;0,11;0,28;90,74;0,42;1653,00;0,00;2959,00;97817118,87;38,17
RBHY11;Geral;Papel: CRIs;BRL Trust DTVM;1,20;1,17;15/06/2021;31/05/2021;0,29;0,28;101,79;1,01;317,00;0,00;216,00;61072405,02;102,80
RBIR11;Geral;Tijolo: Desenvolvimento;Oliveira Trust;0,00;0,00;00/00/0000;00/00/0000;0,00;0,00;96,70;0,00;295,00;0,00;1197,00;147816452,31;0,00
RBIV11;Geral;Papel: CRIs;BRL Trust DTVM;0,70;0,84;15/06/2021;31/05/2021;0,62;0,74;102,96;0,81;4803,00;0,00;3142,00;105464967,11;83,50
RBLG11;Investidor Qualificado;Tijolo: Galpões;BTG Pactual;0,53;0,49;08/06/2021;01/06/2021;0,12;0,12;114,05;0,94;4,00;0,00;64,00;73013549,43;107,00
RBRD11;Geral;Tijolo: Varejo;Votorantim Asset Management;0,05;0,08;15/06/2021;31/05/2021;1,68;2,80;71,44;0,84;3198,00;0,11;12020,00;132282376,33;60,10
RBRF11;Geral;Papel: Fundo de Fundos;BTG Pactual;0,60;0,68;17/06/2021;10/06/2021;0,00;0,00;89,62;0,98;56430,00;1,21;73350,00;1226124289,97;87,93
RBRL11;Geral;Tijolo: Galpões;BRL Trust DTVM;0,70;0,65;15/06/2021;08/06/2021;0,73;0,68;106,99;1,00;33325,00;0,00;5791,00;715432791,49;106,89
RBRM11;Investidor Qualificado;Tijolo: Desenvolvimento;BTG Pactual;15,50;0,00;19/04/2021;12/04/2021;1680,36;0,00;163617,05;0,00;1,00;0,00;54,00;88189591,65;0,00
RBRP11;Geral;Tijolo: Escritórios;BRL Trust DTVM;0,32;0,37;15/06/2021;08/06/2021;0,53;0,62;86,63;0,99;71023,00;1,03;88346,00;1055098676,95;85,90
RBRR11;Geral;Papel: CRIs;BTG Pactual;0,80;0,79;17/06/2021;10/06/2021;0,00;0,00;99,51;1,02;64327,00;1,05;70464,00;760100875,11;101,50
RBRS11;Geral;Tijolo: Desenvolvimento;Rio Bravo Investimentos;0,40;0,54;15/06/2021;31/05/2021;0,20;0,27;96,40;0,77;252,00;0,00;1153,00;100701755,51;74,57
RBRY11;Geral;Papel: CRIs;BTG Pactual;0,75;0,72;17/06/2021;10/06/2021;0,00;0,00;102,96;1,01;21070,00;0,00;8933,00;349785652,72;104,10
RBTS11;Investidor Qualificado;Tijolo: Desenvolvimento;Oliveira Trust;0,00;0,00;00/00/0000;00/00/0000;0,00;0,00;1050,75;0,00;1,00;0,00;56,00;59393774,96;0,00
RBVA11;Geral;Tijolo: Bancário;Rio Bravo Investimentos;0,85;0,77;15/06/2021;31/05/2021;0,95;0,85;113,98;0,97;17378,00;1,32;40696,00;1320790070,80;110,73
RBVO11;Geral;Papel: CRIs;Rio Bravo Investimentos;0,04;0,35;09/06/2021;31/05/2021;0,08;0,62;22,88;0,55;1075,00;0,00;2066,00;11801375,84;12,50
RCFA11;Investidor Qualificado;Tijolo: Desenvolvimento;Terra Investimentos DTVM;0,00;0,00;00/00/0000;00/00/0000;0,00;0,00;1,56;0,00;10830,00;0,00;3617,00;18263993,00;0,00
RCFF11;Investidor Qualificado;Papel: Fundo de Fundos;BRL Trust DTVM;3,11;2,87;22/01/2021;14/01/2021;0,16;0,15;98,34;1,10;113,00;0,00;81,00;31782377,65;108,50
