Ticker;Publico Alvo;Tipo de FII;Administrador;ultimo_rendimento_reais;ultimo_rendimento_perc;Data Pagamento;Data Base;rend_medio_12m_reais;rend_medio_12m_perc;patrimonio_por_cota;cotacao_por_vp;nro_negocios_por_mes;participacao_IFIX;Numero Cotistas;Patrimonio;Cota base
ABCP11;Geral;Tijolo: Shoppings;Rio Bravo Investimentos;0,39;0,54;09/06/2021;31/05/2021;0,27;0,37;88,29;0,82;5093,00;0,89;19203,00;1077525130,29;72,80
AFCR11;Geral;Papel: CRIs;CM Capital Markets;1,08;0,96;09/06/2021;31/05/2021;0,82;0,73;104,61;1,07;4089,00;0,00;1665,00;124200760,61;112,00
AFHI11;Geral;Papel: CRIs;BTG Pactual;0,60;0,63;22/06/2021;15/06/2021;0,00;0,00;96,63;0,99;9103,00;0,00;3311,00;172745111,59;95,80
AFOF11;Investidor Qualificado;Papel: Fundo de Fundos;BRL Trust DTVM;8,76;0,00;03/02/2021;27/01/2021;0,00;0,00;107,06;0,00;501,00;0,00;92,00;39305966,92;0,00
AIEC11;Geral;Tijolo: Escritórios;Modal DTVM;0,57;0,65;09/06/2021;31/05/2021;0,38;0,43;100,16;0,88;4919,00;0,00;3033,00;483257233,98;88,00
ALMI11;Geral;Tijolo: Escritórios;BTG Pactual;0,37;0,00;13/04/2017;31/03/2017;0,00;0,00;2061,01;0,00;601,00;0,00;3417,00;229137188,63;0,00
ALZR11;Geral;Tijolo: Híbrido;BTG Pactual;0,67;0,56;25/06/2021;18/06/2021;0,00;0,00;102,50;1,17;35757,00;0,80;89125,00;459134472,74;119,72
ANCR11B;Geral;Tijolo: Shoppings;Genial Investimentos Corretora de Valores;37,53;1,21;25/02/2021;29/01/2021;38,89;1,26;3323,42;0,93;1,00;0,00;55,00;1499236897,56;3090,00
AQLL11;Investidor Qualificado;Papel: Fundo de Fundos;Índigo Investimentos DTVM;0,00;0,00;00/00/0000;00/00/0000;0,00;0,00;1481,39;0,00;10,00;0,00;37,00;145505513,48;0,00
ARCT11;Geral;Tijolo: Galpões;BTG Pactual;0,50;0,46;22/06/2021;15/06/2021;1,86;1,71;101,55;1,07;17873,00;0,00;5804,00;162232760,08;108,85
ARFI11B;Investidor Qualificado;Tijolo: Galpões;Índigo Investimentos DTVM;0,00;0,00;00/00/0000;00/00/0000;0,00;0,00;1179,65;0,00;1,00;0,00;28,00;134544244,43;0,00
ARRI11;Geral;Papel: CRIs;Oliveira Trust;1,12;1,11;08/06/2021;31/05/2021;0,86;0,85;96,28;1,05;2133,00;0,00;3318,00;37779634,16;100,66
ATCR11;Investidor Qualificado;Tijolo: Escritórios;RJI CTVM LTDA;0,28;0,00;09/04/2021;31/03/2021;0,14;0,00;77,35;0,00;0,00;0,00;33,00;71852847,88;0,00
ATSA11;Geral;Tijolo: Shoppings;Hedge Investments DTVM LTDA;0,25;0,18;13/03/2020;28/02/2020;0,30;0,22;98,49;1,39;120,00;0,00;255,00;172476158,75;137,00
BARI11;Geral;Papel: CRIs;Oliveira Trust;1,07;1,00;22/06/2021;31/05/2021;1,24;1,15;101,79;1,05;37363,00;0,50;26905,00;471703935,45;107,07
BBFI11B;Geral;Tijolo: Escritórios;BTG Pactual;28,50;1,10;15/06/2021;31/05/2021;27,83;1,07;101,79;1,03;1647,00;0,34;7816,00;327816882,02;2600,00
BBFO11;Geral;Papel: Fundo de Fundos;BB Gestão de Recursos;0,50;0,56;15/06/2021;31/05/2021;0,20;0,22;93,04;0,96;737,00;0,00;3798,00;372529804,81;89,50
BBIM11;Geral;Papel: CRIs;BB Gestão de Recursos;0,55;0,00;15/06/2021;31/05/2021;0,50;0,00;62,59;0,00;0,00;0,00;20,00;64779558,74;0,00
BBPO11;Geral;Tijolo: Bancário;Votorantim Asset Management;1,08;0,94;15/06/2021;31/05/2021;1,17;1,01;100,43;1,15;19822,00;1,85;65740,00;1598863562,90;115,40
BBRC11;Geral;Tijolo: Bancário;Votorantim Asset Management;0,87;0,75;15/06/2021;31/05/2021;1,04;0,89;112,71;1,03;3485,00;0,00;8833,00;179216421,68;116,59
BCFF11;Geral;Papel: Fundo de Fundos;BTG Pactual;0,50;0,58;15/06/2021;08/06/2021;0,53;0,62;84,04;1,02;126961,00;2,17;282484,00;2119406011,49;85,99
BCIA11;Geral;Papel: Fundo de Fundos;Banco Bradesco;0,64;0,65;29/06/2021;31/05/2021;0,73;0,74;109,97;0,89;9346,00;0,38;13361,00;408983773,55;97,74
BCRI11;Geral;Papel: CRIs;BRL Trust DTVM;1,59;1,38;15/06/2021;31/05/2021;1,11;0,96;106,40;1,09;18906,00;0,72;38613,00;468178712,47;115,60
BICE11;Geral;Papel: CRIs;BRL Trust DTVM;0,00;0,00;00/00/0000;00/00/0000;0,00;0,00;272,14;0,00;0,00;0,00;89,00;556530,54;0,00
BICR11;Geral;Papel: CRIs;Inter DTVM;0,35;0,37;15/06/2021;31/05/2021;0,27;0,29;99,05;0,96;276,00;0,00;623,00;49525261,27;94,94
BLCP11;Investidor Qualificado;Tijolo: Galpões;BTG Pactual;0,51;0,52;21/06/2021;14/06/2021;0,00;0,00;101,45;0,97;146,00;0,00;182,00;194976359,83;98,48
BLMC11;Geral;Papel: CRIs;BTG Pactual;0,78;0,76;22/06/2021;15/06/2021;0,09;0,08;101,70;1,00;1,00;0,00;25,00;40627519,23;102,00
BLMG11;Geral;Tijolo: Galpões;Vórtx DTVM LTDA;1,10;1,09;15/06/2021;08/06/2021;0,39;0,39;99,64;1,01;8484,00;0,00;2700,00;379673074,25;101,08
BLMO11;Investidor Qualificado;Tijolo: Escritórios;BRL Trust DTVM;0,00;0,00;00/00/0000;00/00/0000;0,00;0,00;25769,52;0,00;1,00;0,00;95,00;97846867,88;0,00
BLMR11;Geral;Papel: Fundo de Fundos;BRL Trust DTVM;0,65;0,78;15/06/2021;07/06/2021;0,00;0,00;93,42;0,89;17546,00;0,00;3738,00;238604064,47;82,87
BMII11;Geral;Tijolo: Escritórios;Rio Bravo Investimentos;0,23;0,00;07/08/2019;31/07/2019;0,09;0,00;493,99;0,00;0,00;0,00;12,00;69159289,74;0,00
BMLC11;Geral;Tijolo: Escritórios;BTG Pactual;0,54;0,60;15/06/2021;08/06/2021;0,62;0,69;106,82;0,84;303,00;0,00;1596,00;106653765,90;89,57
BNFS11;Geral;Tijolo: Bancário;Oliveira Trust;1,15;0,92;15/06/2021;31/05/2021;1,09;0,87;103,73;1,20;1702,00;0,00;3368,00;72607805,60;124,29
BPFF11;Geral;Papel: Fundo de Fundos;Genial Investimentos Corretora de Valores;0,57;0,72;08/06/2021;31/05/2021;0,58;0,73;82,76;0,96;34364,00;0,36;19603,00;371794835,59;79,47
BPML11;Geral;Tijolo: Shoppings;BTG Pactual;0,61;0,61;25/02/2021;18/02/2021;0,14;0,14;135,79;0,74;3028,00;0,00;1172,00;584587292,43;99,97
BPRP11;Investidor Qualificado;Tijolo: Galpões;BTG Pactual;0,79;0,72;15/06/2021;08/06/2021;0,83;0,75;108,01;1,02;205,00;0,00;196,00;145794396,65;110,00
BRCO11;Geral;Tijolo: Galpões;Oliveira Trust;0,54;0,49;08/06/2021;31/05/2021;0,59;0,54;108,46;1,01;72100,00;1,64;32249,00;1602955497,24;109,30
BRCR11;Geral;Tijolo: Escritórios;BTG Pactual;0,46;0,55;15/06/2021;08/06/2021;0,50;0,60;107,80;0,77;78856,00;2,27;126814,00;2871540176,98;83,50
BREV11;Geral;Tijolo: Escritórios;BR-CAPITAL;0,68;0,64;15/06/2021;07/06/2021;0,00;0,00;105,43;1,01;35,00;0,00;76,00;98402688,55;106,51
BRHT11B;Investidor Qualificado;Tijolo: Hotéis;BNY Mellon;0,86;0,00;14/07/2014;30/06/2014;0,00;0,00;82,48;0,00;0,00;0,00;11,00;151899420,19;0,00
BRIM11;Geral;Tijolo: Desenvolvimento;BRL Trust DTVM;0,00;0,00;00/00/0000;00/00/0000;0,00;0,00;970,49;0,00;3,00;0,00;110,00;120473703,05;0,00
BRIP11;Geral;Tijolo: Desenvolvimento;BRL Trust DTVM;0,00;0,00;00/00/0000;00/00/0000;0,00;0,00;991,05;0,00;315,00;0,00;236,00;107371367,02;0,00
BRLA11;Investidor Qualificado;Tijolo: Galpões;BTG Pactual;0,97;0,00;22/06/2021;15/06/2021;0,48;0,00;125,56;0,00;0,00;0,00;84,00;122570696,66;0,00
BTAL11;Geral;Tijolo: Outros;BTG Pactual;0,56;0,56;25/06/2021;18/06/2021;0,00;0,00;100,55;1,01;25930,00;0,00;9672,00;601581817,76;101,08
BTCR11;Geral;Papel: CRIs;BTG Pactual;0,67;0,71;14/05/2021;07/05/2021;0,53;0,56;97,07;0,97;22380,00;0,45;8772,00;466929590,31;94,42
BTLG11;Geral;Tijolo: Galpões;BTG Pactual;0,70;0,62;25/06/2021;15/06/2021;0,62;0,55;101,09;1,12;131493,00;1,72;111547,00;1404587725,60;113,04
BTWR11;Investidor Qualificado;Tijolo: Escritórios;BRL Trust DTVM;0,00;0,00;00/00/0000;00/00/0000;0,00;0,00;106,72;0,00;0,00;0,00;53,00;86365770,58;0,00
BVAR11;Geral;Tijolo: Varejo;Rio Bravo Investimentos;20,60;0,00;23/06/2021;15/06/2021;12,46;0,00;1104,70;0,00;0,00;0,00;69,00;691034718,99;0,00
BZLI11;Investidor Qualificado;Híbrido (Tijolo/Papel);Índigo Investimentos DTVM;0,00;0,00;00/00/0000;00/00/0000;0,00;0,00;11,45;0,00;24264,00;0,56;31,00;439665897,40;0,00
CARE11;Geral;Tijolo: Outros;Planner Trustee DTVM LTDA;0,00;0,21;15/06/2021;07/06/2021;0,00;0,00;1,61;0,49;10736,00;0,00;10624,00;288155071,03;0,79
CBOP11;Geral;Tijolo: Escritórios;Credit Suisse Hedging-Griffo;0,49;0,68;15/06/2021;31/05/2021;0,55;0,76;90,59;0,79;1086,00;0,00;3759,00;128178286,06;72,00
CEOC11;Geral;Tijolo: Escritórios;BTG Pactual;0,44;0,62;14/05/2021;07/05/2021;0,52;0,74;86,54;0,81;3149,00;0,00;6890,00;157128089,83;70,33
CFHI11;Investidor Qualificado;Tijolo: Desenvolvimento;Vórtx DTVM LTDA;0,00;0,00;00/00/0000;00/00/0000;0,00;0,00;989,69;0,00;0,00;0,00;57,00;74900061,40;0,00
CJCT11;Investidor Qualificado;Tijolo: Escritórios;Hedge Investments DTVM LTDA;0,33;0,61;09/01/2019;28/12/2018;0,00;0,00;67,35;0,80;448,00;0,00;1581,00;182515132,29;53,99
CNES11;Geral;Tijolo: Escritórios;BTG Pactual;0,07;0,17;28/05/2021;21/05/2021;0,00;0,00;87,30;0,49;737,00;0,00;2518,00;257473314,39;42,52
CORM11;Investidor Qualificado;Tijolo: Desenvolvimento;BTG Pactual;1,16;1,01;22/06/2021;15/06/2021;0,10;0,08;98,62;1,17;0,00;0,00;62,00;90460231,10;115,00
CPFF11;Geral;Papel: Fundo de Fundos;BTG Pactual;0,80;0,95;17/06/2021;09/06/2021;0,00;0,00;82,01;1,02;31727,00;0,34;11978,00;325884515,48;83,98
CPTS11;Geral;Papel: CRIs;BTG Pactual;1,00;0,99;18/06/2021;11/06/2021;0,00;0,00;95,06;1,07;154083,00;2,50;92583,00;2033959001,79;101,25
CRFF11;Geral;Papel: Fundo de Fundos;Caixa Econômica Federal;0,46;0,63;11/06/2021;01/06/2021;0,45;0,61;91,46;0,80;976,00;0,00;1869,00;63113822,51;73,50
CTXT11;Geral;Tijolo: Outros;Rio Bravo Investimentos;0,05;0,21;09/06/2021;31/05/2021;0,26;1,09;48,38;0,49;1448,00;0,00;4196,00;125506257,05;23,60
CVBI11;Geral;Papel: CRIs;BRL Trust DTVM;1,00;0,96;16/06/2021;09/06/2021;0,00;0,00;100,37;1,04;78135,00;0,99;32157,00;597925064,54;104,62
CXCE11B;Geral;Tijolo: Escritórios;Caixa Econômica Federal;0,91;1,09;15/06/2021;31/05/2021;0,95;1,14;81,10;1,03;2188,00;0,00;2930,00;138915815,67;83,60
CXCO11;Geral;Tijolo: Escritórios;Vórtx DTVM LTDA;0,72;0,70;15/06/2021;31/05/2021;0,11;0,11;100,19;1,02;3272,00;0,00;13462,00;393177556,14;102,38
CXRI11;Geral;Papel: Fundo de Fundos;Caixa Econômica Federal;0,54;0,57;11/06/2021;01/06/2021;0,78;0,82;93,11;1,03;1316,00;0,00;3048,00;146719618,31;95,48
CXTL11;Geral;Tijolo: Galpões;Caixa Econômica Federal;4,68;1,27;15/06/2021;31/05/2021;1,43;0,39;646,64;0,57;469,00;0,00;569,00;34657816,54;370,00
DAMT11B;Geral;Tijolo: Shoppings;Banco Modal SA;0,00;0,00;00/00/0000;00/00/0000;0,00;0,00;0,94;0,00;1,00;0,00;51,00;104806726,66;0,00
DEVA11;Geral;Papel: CRIs;Vórtx DTVM LTDA;1,10;1,00;15/06/2021;08/06/2021;1,04;0,94;99,81;1,10;78594,00;1,09;31999,00;960639964,75;110,02
DMAC11;Investidor Qualificado;Tijolo: Desenvolvimento;Oliveira Trust;29,05;36,32;15/04/2021;06/04/2021;2,65;3,31;10,72;7,46;4308,00;0,00;2072,00;1673504,88;79,99
DOVL11B;Investidor Qualificado;Tijolo: Escritórios;BNY Mellon;8,72;0,00;20/08/2020;12/08/2020;5,97;0,00;947,54;0,00;1,00;0,00;7,00;59010629,22;0,00
DRIT11B;Geral;Tijolo: Escritórios;Banco Daycoval SA;0,33;0,28;15/06/2021;07/06/2021;0,00;0,00;131,01;0,91;81,00;0,00;302,00;60692337,91;119,00
EDFO11B;Geral;Tijolo: Escritórios;Oliveira Trust;1,36;0,54;10/06/2021;31/05/2021;1,58;0,63;213,77;1,17;127,00;0,00;592,00;50449075,35;250,00
EDGA11;Geral;Tijolo: Escritórios;BTG Pactual;0,10;0,38;31/05/2021;24/05/2021;0,00;0,00;78,77;0,34;4484,00;0,00;7549,00;300270482,22;26,68
ELDO11B;Geral;Tijolo: Shoppings;Rio Bravo Investimentos;3,09;0,00;21/06/2021;11/06/2021;0,00;0,00;1236,59;0,00;0,00;0,00;61,00;973512484,69;0,00
ERCR11;Investidor Qualificado;Tijolo: Desenvolvimento;Oliveira Trust;919,21;1,08;24/06/2021;17/06/2021;0,00;0,00;88973,95;0,96;1,00;0,00;14,00;211402106,27;85227,76
ERPA11;Investidor Qualificado;Tijolo: Escritórios;Oliveira Trust;0,00;0,00;00/00/0000;00/00/0000;0,00;0,00;104,50;0,00;21,00;0,00;12,00;51844937,69;0,00
EURO11;Geral;Tijolo: Galpões;COINVALORES;1,35;0,65;15/06/2021;31/05/2021;1,28;0,61;283,56;0,73;1177,00;0,00;2417,00;108870706,82;208,29
EVBI11;Geral;Tijolo: Outros;BRL Trust DTVM;0,64;0,63;08/06/2021;31/05/2021;0,21;0,21;97,99;1,04;126,00;0,00;108,00;106070885,36;102,00
FAED11;Geral;Tijolo: Educacional;BTG Pactual;1,10;0,72;15/06/2021;08/06/2021;1,36;0,88;213,91;0,72;2045,00;0,00;5135,00;137364240,49;154,00
FAMB11B;Geral;Tijolo: Escritórios;BTG Pactual;9,16;0,56;13/11/2020;30/10/2020;27,24;1,65;3483,74;0,47;504,00;0,00;3669,00;365096455,45;1650,01
FATN11;Geral;Tijolo: Escritórios;BR-CAPITAL;0,67;0,65;15/06/2021;07/06/2021;0,00;0,00;100,27;1,02;231,00;0,00;219,00;65452316,84;102,40
FCFL11;Geral;Tijolo: Educacional;BTG Pactual;0,64;0,58;25/06/2021;18/06/2021;0,00;0,00;101,44;1,08;3581,00;0,00;4492,00;352396190,17;110,00
FEXC11;Geral;Papel: CRIs;BTG Pactual;0,72;0,74;15/06/2021;08/06/2021;0,78;0,79;92,55;1,05;7555,00;0,00;17504,00;564889746,62;97,58
FIGS11;Geral;Tijolo: Shoppings;Hedge Investments DTVM LTDA;0,15;0,25;15/06/2021;31/05/2021;0,00;0,00;94,44;0,63;11584,00;0,19;17985,00;269145540,06;59,49
FIIB11;Geral;Tijolo: Galpões;COINVALORES;3,30;0,66;10/06/2021;31/05/2021;2,80;0,56;442,09;1,13;3965,00;0,35;17975,00;302833973,76;501,59
FIIP11B;Geral;Tijolo: Galpões;Oliveira Trust;1,12;0,55;15/06/2021;31/05/2021;1,87;0,92;193,16;1,05;2054,00;0,00;9027,00;179093742,38;202,13
FINF11;Investidor Qualificado;Tijolo: Galpões;Planner Trustee DTVM LTDA;0,06;0,00;15/06/2021;31/05/2021;0,10;0,00;100,96;0,00;0,00;0,00;4,00;82794886,17;0,00
FISC11;Geral;Tijolo: Escritórios;BR-CAPITAL;0,12;0,00;23/06/2021;15/06/2021;0,08;0,00;155,22;0,00;2,00;0,00;65,00;254356373,94;0,00
FISD11;Investidor Qualificado;Papel: CRIs;RJI CTVM LTDA;0,00;0,00;00/00/0000;00/00/0000;0,00;0,00;111,06;0,00;1,00;0,00;25,00;119119345,57;0,00
FIVN11;Geral;Tijolo: Shoppings;Oliveira Trust;0,00;0,00;00/00/0000;00/00/0000;0,00;0,00;6,88;0,00;2340,00;0,00;2725,00;64797779,29;0,00
FLCR11;Investidor Qualificado;Papel: CRIs;BRL Trust DTVM;1,00;0,98;15/06/2021;08/06/2021;0,39;0,38;100,99;1,01;335,00;0,00;167,00;50492944,25;102,49
FLMA11;Geral;Tijolo: Escritórios;BR-CAPITAL;0,40;0,29;15/06/2021;07/06/2021;0,00;0,00;155,52;0,90;41421,00;0,19;74717,00;214724797,74;139,50
FLRP11;Geral;Tijolo: Shoppings;BTG Pactual;4,00;0,30;31/05/2021;20/05/2021;0,00;0,00;1662,33;0,80;129,00;0,00;970,00;108437237,85;1323,00
FMOF11;Geral;Tijolo: Escritórios;COIN DTVM;0,64;0,90;15/01/2021;30/12/2020;0,38;0,53;132,16;0,54;106,00;0,00;361,00;67138225,68;71,37
FPAB11;Geral;Tijolo: Escritórios;COIN DTVM;1,20;0,45;15/06/2021;31/05/2021;1,74;0,66;448,20;0,59;434,00;0,00;975,00;336149327,91;264,91
FPNG11;Geral;Tijolo: Escritórios;BR-CAPITAL;0,52;0,00;15/06/2021;07/06/2021;0,00;0,00;166,81;0,00;1,00;0,00;50,00;165220479,25;0,00
FTCE11B;Investidor Qualificado;Híbrido (Tijolo/Papel);BRL Trust DTVM;77,42;2,62;01/03/2021;22/02/2021;102,46;3,47;2716,72;1,09;1,00;0,00;10,00;2381264954,43;2950,01
FVBI11;Geral;Tijolo: Escritórios;BTG Pactual;30,00;18,78;31/08/2020;21/08/2020;3,03;1,90;0,00;;2319,00;0,00;0,00;0,00;159,71
