"","Publico.Alvo","Tipo.de.FII","Administrador","ultimo_rendimento_reais","ultimo_rendimento_perc","Data.Pagamento","Data.Base","rend_medio_12m_reais","rend_medio_12m_perc","patrimonio_por_cota","cotacao_por_vp","nro_negocios_por_mes","participacao_IFIX","Numero.Cotistas","Patrimonio","Cota.base","fiis_clust","fiis.k6.cluster"
"VXXV11","Investidor Qualificado","Tijolo: Outros","Vórtx DTVM LTDA",0,0,"00/00/0000","00/00/0000",0,0,491.67,0,0,0,4,25566994.94,0,2,2
"WPLZ11","Geral","Tijolo: Shoppings","Hedge Investments DTVM LTDA",0.1,0.15,"12/03/2021","26/02/2021",0.42,0.61,104.71,0.65,283,0,1946,106880016.87,68.49,1,2
"WTSP11B","Investidor Qualificado","Tijolo: Híbrido","Banco Ourinvest SA",0.22,0.49,"22/06/2021","15/06/2021",0.16,0.36,79.65,0.57,122,0,200,79060153,45.5,1,2
"XPCI11","Geral","Papel: CRIs","Vórtx DTVM LTDA",1,1,"15/06/2021","31/05/2021",0.77,0.77,96.93,1.03,102467,0.68,30298,636538861.21,99.99,4,5
"XPCM11","Geral","Tijolo: Escritórios","Rio Bravo Investimentos",0.39,0.98,"15/06/2021","31/05/2021",0.82,2.04,71.79,0.56,15336,0.1,32708,173353021.06,40,1,2
"XPHT11","Investidor Qualificado","Tijolo: Hotéis","Genial Investimentos Corretora de Valores Mobiliários SA",0.34,0.4,"15/04/2020","31/03/2020",0.44,0.52,86.84,0.98,765,0,1550,330389677.16,85,1,2
"XPIN11","Geral","Tijolo: Galpões","Vórtx DTVM LTDA",0.62,0.59,"25/06/2021","18/06/2021",0,0,110.83,0.96,30524,0.71,52224,729986712.29,105.96,1,5
"XPLG11","Geral","Tijolo: Galpões","Vórtx DTVM LTDA",0.61,0.54,"15/06/2021","31/05/2021",0.63,0.56,110.45,1.03,143877,3.11,263359,2993276336.48,113.64,3,1
"XPML11","Geral","Tijolo: Shoppings","BTG Pactual",0.4,0.38,"25/06/2021","18/06/2021",0,0,109.86,0.96,105603,1.95,251800,2000303504.05,105.45,3,1
"XPPR11","Geral","Tijolo: Escritórios","Vórtx DTVM LTDA",0.48,0.75,"15/06/2021","31/05/2021",0.68,1.07,85.74,0.75,54045,0.5,40876,627324285.79,64,4,5
"XPSF11","Geral","Papel: Fundo de Fundos","XP Investimentos",0.87,0.89,"15/06/2021","31/05/2021",0.81,0.82,95.82,1.02,36952,0.43,18527,414931224.93,98.2,1,2
"XTED11","Geral","Tijolo: Escritórios","BTG Pactual",0.32,0,"14/07/2016","30/06/2016",0,0,13.97,0,979,0,4968,25862448.6,0,2,2
